"x"
"RATCAT_A"
"INCTCFLG_A"
"FAMINCTC_A"
"PPSU"
"DISAB3_A"
"LEGMSTAT_A"
"MARSTAT_A"
"PCNTADTWFP_A"
"EMPWRKFT_A"
"EMPWRKLSWK_A"
"EMPWKHRS2_A"
"SMKCIGST_A"
"URGNT12MTC_A"
"EMERG12MTC_A"
"PCNT18UPTC"
"PCNTLT18TC"
"EXCHANGE_A"
"NOTCOV_A"
"OTHGOV_A"
"MILITARY_A"
"MEDICAID_A"
"MEDICARE_A"
"PRIVATE_A"
"EDUC_A"
"MAXEDUC_A"
"MLTFAMFLG_A"
"OVER65FLG_A"
"NUMCAN_A"
"HISP_A"
"SRVY_YR"
"SEX_A"
"AGEP_A"
"FDSBALANCE_A"
"INCOTHR_A"
"INCRETIRE_A"
"INCSSISSDI_A"
"INCSSRR_A"
"INCINTER_A"
"INCWRKO_A"
"EMPOFFHI_A"
"EMPPDSKLV_A"
"SCHCURENR_A"
"MARITAL_A"
"SMOKELSEV_A"
"SMKEV_A"
"PAICHIRO_A"
"PAIPHYSTPY_A"
"PAIWKLM3M_A"
"PAIAMNT_A"
"PAIFRQ3M_A"
"MHTHND_A"
"DEPMED_A"
"HOMEHC12M_A"
"THERA12M_A"
"EYEEX12M_A"
"WRKHLTHFC_A"
"WORKHEALTH_A"
"DIABLAST_A"
"OPD12M_A"
"RXDG12M_A"
"RXLS12M_A"
"RXSK12M_A"
"RX12M_A"
"MEDNG12M_A"
"HOSPONGT_A"
"WELLNESS_A"
"LASTDR_A"
"DENNG12M_A"
"DENDL12M_A"
"DENPREV_A"
"PAYWORRY_A"
"HINOTYR_A"
"PRVSCOV1_A"
"PRDNCOV1_A"
"PRDEDUC1_A"
"SINCOVRX_A"
"HIKIND04_A"
"HIKIND03_A"
"SOCSCLPAR_A"
"UPPOBJCT_A"
"UPPRAISE_A"
"WLK13M_A"
"DIFF_A"
"HEARINGDF_A"
"HEARAID_A"
"WEARGLSS_A"
"DEPEV_A"
"ANXEV_A"
"DEMENEV_A"
"ARTHEV_A"
"COPDEV_A"
"DIBEV_A"
"GESDIB_A"
"PREDIB_A"
"CANEV_A"
"ASEV_A"
"STREV_A"
"ANGEV_A"
"CHLEV_A"
"HYPEV_A"
"AVAIL_A"
"INTV_QRT"
