"x"
"RATCAT_A"
"FAMINCTC_A"
"IMPINCFLG_A"
"PPSU"
"PSTRAT"
"RACEALLP_A"
"CITZNSTP_A"
"LEGMSTAT_A"
"MARSTAT_A"
"FDSCAT4_A"
"EMPDYSMSS2_A"
"EMPWRKFT_A"
"EMPWKHRS2_A"
"BMICAT_A"
"WEIGHTLBTC_A"
"HEIGHTTC_A"
"URGNT12MTC_A"
"PLNWRKR1_A"
"HICOSTR1_A"
"EXCHPR1_A"
"EDUC_A"
"MAXEDUC_A"
"PARSTAT_A"
"REGION"
"SRVY_YR"
"AGEP_A"
"HOUTENURE_A"
"HOUYRSLIV_A"
"INCRETIRE_A"
"INCINTER_A"
"INCWRKO_A"
"EMPOFFHI_A"
"EMPPDSKLV_A"
"PAIAFFM3M_A"
"PAIWKLM3M_A"
"PAIAMNT_A"
"ANXFREQ_A"
"DIABLAST_A"
"LASTDR_A"
"DENPREV_A"
"PRVSCOV1_A"
"PRDNCOV1_A"
"PRRXCOV1_A"
"PRDEDUC1_A"
"PLN1PAY6_A"
"SINCOVRX_A"
"SINCOVVS_A"
"SINCOVDE_A"
"PHSTAT_A"
"INTV_QRT"
